clue_id,confidence,difficulty,transcript,clue_word_frequency,duration,clue_latency,clue_number_latency,speech_rate,speech_ratio,articulation_rate,pause_count,pause_mean,pause_max,pause_before_clue,pause_mid_speech,filler_count,repetition_count,disfluency,verbal_hesitation_count,meta_comment_presence,pitch_mean,pitch_std,pitch_slope,pitch_rise_end,pitch_range,pitch_p25,pitch_p75,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,energy_mean,energy_std,energy_range,energy_p25,energy_p75,jitter,shimmer,hnr
1,3,2," Okay, let me see here. So, mm-hmm. Alright, this is tough. I'm not gonna lie. I'm in a ward door.",5.08,27.456,24.82,0.0,0.7284382284382285,0.5157342657342657,1.694915254237288,38,0.3505263157894737,1.5899999999999999,1,3,0,0,0.9921024441719055,6,0.4,129.7768499292876,30.689396131880336,1.5206809230413167,8.956299978939427,314.04947216607485,109.51256721909758,137.41285568833212,-366.47278,154.87427,37.43776,46.29914,7.48895,14.210628,8.574779,14.013883,-2.576614,12.395867,-1.409646,8.295409,-0.8785849,8.565986,-1.3972839,7.651022,-0.99197155,5.8344674,-2.1346803,7.181801,-1.7147589,6.2432685,0.8849422,6.169598,-2.1048026,6.227731,0.044402402,0.08915439,0.5455287,0.0,0.049379982,0.020542730653672233,0.12180826414314072,15.683528847358598
2,4,1, homo sapiens to,1.59,7.776,5.22,0.5600000000000005,0.38580246913580246,0.2970679012345679,2.1645021645021645,7,0.6385714285714287,2.6999999999999997,0,0,0,0,0.9996465444564819,0,0.0,136.1474809647903,21.97571661891016,3.8314268265793667,-22.942767976775812,99.32407351810437,118.12118645359914,143.95101639182423,-413.5036,156.11914,20.81097,38.69582,6.7217855,13.696868,5.857639,12.701881,-1.5275956,9.130982,-0.62817043,6.1395736,-0.8277347,4.4750476,-1.7501688,4.3874116,-0.54030484,4.429498,-2.4651968,8.523219,-2.920639,6.215263,-0.2522852,4.5179596,-1.4790192,5.7757993,0.0393427,0.09056699,0.3830217,0.0,0.009859916,0.029517372983649717,0.14539129100336448,11.074241926411924
3,4,2, Human 2,5.35,0.928,1.44,1.4,2.155172413793103,0.6788793103448275,4.761904761904762,1,0.03,0.03,0,0,0,0,0.8982441425323486,0,0.0,123.54694107506764,8.44603083346531,-34.103890921487775,-0.9247268201742713,32.21801244926482,116.19135700598028,130.1729770075196,-292.37778,226.13213,61.328716,40.804527,9.184021,9.577034,11.091815,8.960417,4.2317023,5.8063664,1.3880996,5.3687596,-1.6895506,4.107224,-3.676715,5.9115844,-4.538727,5.839408,-7.809705,7.8467584,-8.454332,6.7427444,-2.9359953,5.129016,-4.0779314,5.7542515,0.07305319,0.060341932,0.16225295,0.0,0.12713562,0.025945364000791973,0.11245300948335109,14.221208308225826
4,2,4, This is tough here. Subt x mask.ś,3.92,16.256,15.08,0.0,0.43061023622047245,0.32295767716535434,1.5238095238095237,18,0.6083333333333334,4.17,0,1,0,0,0.9182825088500977,1,0.3333333333333333,122.80276774245635,22.507622673847262,0.5764152563715318,-6.448487550435061,173.6716074307257,111.52159529508675,129.16916055746202,-380.97546,162.82033,22.16387,40.366444,3.9634728,10.920034,5.3082743,9.726498,-0.36094776,7.958338,0.30718917,5.342822,-1.7817026,6.9279394,-1.5338621,6.880973,0.16084889,5.21958,-1.3429954,5.543111,-1.8875942,5.434012,-0.5262461,4.580868,-0.585024,3.5189657,0.040155534,0.089108884,0.4773674,0.0,0.012116556,0.03357288577875075,0.1405012094364316,9.131940801444104
5,4,3," See, I don't know how to link some of these. That is insane. I can't do it. I will leave it now. Okay. Kind of, but yeah. I'll say, found ten two.",3.91,32.832,3.14,0.21999999999999975,0.9746588693957114,0.9265350877192982,1.2491781722550954,8,0.30374999999999996,1.3199999999999998,0,5,0,0,0.8250052332878113,3,0.14285714285714285,132.2585298671426,30.83073082438582,-0.5985186971864106,-22.540422693391434,138.2831470687608,110.3358440362624,142.93751019439767,-304.64297,95.17376,80.92174,32.97277,23.51116,17.70866,25.791367,16.443983,9.088651,11.356863,10.087947,9.528149,1.4963733,12.87583,-0.8997243,11.80628,3.5001204,7.963624,-0.8489901,11.313092,-2.1665263,9.367531,3.9279695,6.5223575,0.42427433,6.3236847,0.050549794,0.08610433,0.4505301,0.005840929,0.040372424,0.025149484521316334,0.10226332850788394,14.12736796232652
6,4,2, Train track or track 2,5.02,6.176,4.88,0.3799999999999999,0.8095854922279793,0.3643134715025907,2.2222222222222223,5,0.654,1.74,0,0,0,0,0.900474488735199,0,0.0,130.95294465823747,26.473883786400247,3.567668299846373,72.62771836573222,157.96081127384446,112.89031582270147,140.73550178461855,-382.084,195.03308,28.647432,40.20769,4.4979463,8.02047,5.689583,10.3743105,1.02726,4.8415475,-0.72917444,4.5935144,-2.0367913,4.6749706,-2.8114033,4.6695733,-3.2197738,5.307867,-2.9406888,5.3065653,-2.695592,5.079011,-1.2250025,3.439743,-0.5288279,3.3824627,0.049928524,0.08281746,0.38295832,0.0,0.08936761,0.0237475459657757,0.07734241280232053,17.41401943015705
7,5,1," Okay, one more. Magnify.",2.77,3.136,1.4000000000000004,0.6799999999999997,1.2755102040816326,0.5165816326530611,5.555555555555556,4,0.3825,1.44,0,1,0,0,0.8232693076133728,1,0.5,164.94983618595086,54.38899336468771,-48.32999234445717,-43.949046532931604,170.00058088048087,116.23854263564853,220.87991547672854,-336.99203,169.56395,56.52145,45.2835,7.6147385,14.001794,10.211356,15.862005,-1.6432232,8.893083,-2.0904677,9.426312,-1.4029042,10.516304,0.38322031,8.218982,-0.072700955,6.906149,-3.3939857,7.791742,-5.5709357,7.7242594,-4.623709,7.3052464,-6.2867436,7.8157,0.046743292,0.08764191,0.41187567,0.0,0.041389693,0.021240185357096326,0.09926627843875024,13.809880203671907
8,2,4," Hmm. Signs, S-I-G-N, sign 2.",5.08,22.944,22.02,0.120000000000001,0.21792189679218968,0.46809623430962344,0.4655493482309125,14,0.8721428571428571,4.5,1,1,0,0,0.9996113181114197,1,0.0,126.66336735070925,23.08784362823012,0.037548398456766274,-13.22059298719688,150.5949483122719,112.18920582119372,132.4791987642895,-374.43402,183.65622,35.232574,43.461994,8.939299,12.781105,10.809326,15.006938,3.7317116,8.322976,3.0162768,6.5319133,0.4472396,5.884099,-1.6132792,5.7530117,-1.0193977,5.6701107,-1.9272063,6.0585237,-1.8888844,5.2727275,-0.5996183,4.005474,-1.5071169,4.016352,0.05154931,0.08400568,0.4138031,0.0,0.07984,0.022740884527813095,0.08450986516861476,17.74473695260263
9,3,3," Okay, let's go for easy one animal 2",4.81,6.3253125,4.48,0.11999999999999922,1.2647596462625366,0.9580554320438713,2.145214521452145,1,0.27,0.27,0,0,0,0,0.779922366142273,1,1.0,109.6419068529605,12.325979635934827,-2.2074860257365394,-0.4312462541412714,117.16334349455418,103.26042326267705,112.96482090986362,-277.3473,84.86798,89.58627,46.76694,26.110775,22.37349,38.16281,24.122389,-8.060684,14.090204,-7.985026,13.889069,-7.2924285,14.232869,-7.738442,11.500457,1.5930574,12.225033,-7.849052,12.001163,-3.8904321,8.309614,4.5507026,8.22976,-4.4368834,8.72353,0.06813813,0.072933465,0.2509641,0.005559441,0.12846322,0.02795862357532302,0.09313019714489755,14.197462502208728
10,4,3, Does your that's it that's it that's it that's it Claude to,4.03,29.28,29.099999999999998,2.020000000000003,0.4098360655737705,0.9497950819672131,0.4674577490111471,22,0.06681818181818183,0.48,0,2,0,0,0.8185060024261475,0,0.0,118.80080261794556,34.22816980892872,0.6975966289585815,-10.533281566434283,317.2400703203056,105.2005789869533,128.815490625155,-308.02963,85.69865,67.439156,28.717085,25.817791,13.994639,21.146212,14.184262,4.9531336,13.103317,8.778775,7.706707,6.415427,8.707827,1.5485356,9.81903,2.7309463,7.169994,2.2543213,7.607929,0.66099685,8.175471,2.1252952,5.710364,1.9573343,5.544045,0.034939278,0.093229175,0.8521514,0.005068036,0.015128176,0.02340185968618359,0.09773413613675136,14.15531167693591
11,2,5," I think I know one. Okay, thank God. I'm gonna say... You know what? Actually... There's no way I can relate these. It's adding the difficulty. Who is the landing? I don't know.",3.66,76.736,4.64,0.16000000000000014,0.43004587155963303,0.3033778148457047,2.018900343642612,60,0.8909999999999999,7.5,0,7,0,0,0.8642946481704712,4,0.1111111111111111,121.23406728421075,35.283327774004576,0.04509653616670142,-10.041099403040647,228.3908909283617,104.0443182817798,123.80487124239491,-376.40894,133.63509,25.302134,42.55442,6.1574054,14.091454,5.801064,13.184245,0.5983749,8.326353,-0.068962656,5.3012447,-1.4592488,6.5499063,-1.3225204,5.6252804,-1.0694394,4.9472966,-2.3158782,7.103386,-1.4561082,5.1074677,-0.49397728,4.0058665,-0.7549811,3.8819873,0.035984132,0.09247007,0.7212556,0.0,0.010425906,0.026186709442653017,0.09753811286670776,14.866245726019665
12,5,1, Child,5.3,2.6773125,2.4,0.0,0.3735088825081121,0.5042369913859513,0.7407407407407408,4,0.3375000000000001,1.08,0,0,0,0,0.921134889125824,0,0.0,118.99723164831249,8.236902053814388,-47.946386800376615,0.0,47.93597012411462,114.9611003925926,119.0269704900614,-316.26782,132.2357,62.091938,47.35473,1.2181029,21.285444,12.410711,15.746615,-2.499841,16.988026,4.261767,8.721621,-4.6121607,9.319258,-3.4196231,11.129959,7.114416,8.971977,1.920804,10.62553,-4.5612235,11.568259,2.564974,5.537305,-0.28981462,4.6441083,0.04531456,0.08791998,0.33687434,0.0016056367,0.012607107,0.01545842819748952,0.10143157701758995,12.04352701547986
